WATERBODY_ID,VERSION,DATE_RETRIEVED,UP_STREAM,DOWN_STREAM,IMMEDIATE_UP_STREAM,IMMEDIATE_DOWN_STREAM,CATCHMENT_LENGTH,WATERBODY_NAME,WB_TYPE_NAME,Easting,Northing,NGR,BB_MAX_X,BB_MAX_Y,BB_MIN_X,BB_MIN_Y,HMD_NAME
GB104027057620,2,13/09/2013,,"GB70410281, GB104027057771, GB104027057452, GB104027057630, GB104027057772, GB104027064242, GB104027064243, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203",,GB104027057630,,Redleadmill Brook,River,438186,366188,SK3818666188,439864,367124,436556,366135,Not Designated A/HMWB
GB104027057630,2,13/09/2013,"GB104027052280, GB104027057620","GB70410281, GB104027057771, GB104027057452, GB104027057772, GB104027064242, GB104027064243, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203","GB104027052280, GB104027057620",GB104027057771,,Rother from Redleadmill Brook to Spital Brook,River,438651,368565,SK3865168565,439871,370504,438425,366839,Heavily Modified
GB104027057640,2,13/09/2013,,"GB70410281, GB104027057771, GB104027057452, GB104027057772, GB104027064242, GB104027064243, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203",,GB104027057771,,Spital/Calow/Muster Brook,River,441156,369893,SK4115669893,443126,370729,438836,366998,Not Designated A/HMWB
GB104027057660,2,13/09/2013,GB104027057670,"GB70410281, GB104027057771, GB104027057452, GB104027057772, GB104027064242, GB104027064243, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203",GB104027057670,GB104027057771,,Hipper from Source to River Rother,River,433907,371160,SK3390771160,438875,371252,430010,367157,Heavily Modified
GB104027057670,2,13/09/2013,,"GB70410281, GB104027057771, GB104027057452, GB104027057660, GB104027057772, GB104027064242, GB104027064243, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203",,GB104027057660,,Holme Brook/Linacre Beck,River,435109,372569,SK3510972569,437681,372840,431279,371011,Heavily Modified
GB104027057772,1,13/09/2013,"GB104027057771, GB104027052280, GB104027057290, GB104027057301, GB104027057310, GB104027057320, GB104027057620, GB104027057630, GB104027057640, GB104027057660, GB104027057670, GB104027057773, GB104027057700, GB104027057710, GB104027057720, GB104027057730, GB104027057740, GB104027057290","GB70410281, GB104027057452, GB104027064242, GB104027064243, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203","GB104027057771, GB104027057301, GB104027057773, GB104027057720, GB104027057730, GB104027057740",GB104027057452,,"Rother, Doe Lea to Don",River,444581,378436,SK4458178436,446756,392267,440639,377174,Heavily Modified
GB104027057773,1,13/09/2013,,"GB70410281, GB104027057452, GB104027057772, GB104027064242, GB104027064243, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203",,GB104027057772,,Shire Brook,River,441190,384215,SK4119084215,444074,384574,438397,383270,Not Designated A/HMWB
GB104027062510,2,13/09/2013,,"GB104027062631, GB104027062632, GB104027062760, GB104027064270, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203",,GB104027062631,,Smithy Brook from Source to River Calder,River,426711,418120,SE2671118120,427954,418226,421619,415730,Not Designated A/HMWB
GB104027062520,2,13/09/2013,,"GB104027062580, GB104027062631, GB104027062632, GB104027062642, GB104027062760, GB104027064270, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203",,GB104027062580,,Booth Dean Clough from Source to River Ryburn,River,401702,415991,SE0170215991,403881,418817,398720,413930,Heavily Modified
GB104027062530,2,13/09/2013,,"GB104027062631, GB104027062632, GB104027062760, GB104027064270, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203",,GB104027062631,,Owler Beck from Source to River Calder,River,433518,413679,SE3351813679,435353,418960,432161,410821,Heavily Modified
